,SVMSet
0,city_Garner
1,rating
2,category_chicken_wings
3,city_Durham
4,category_bars
5,category_beer_and_wine
6,category_icecream
7,city_Holly_Springs
8,category_chinese
9,category_catering
10,category_bakeries
11,category_indpak
12,category_italian
13,category_delis
14,city_Wendell
15,category_cocktailbars
16,city_Angier
17,category_mexican
18,category_mediterranean
19,category_breweries
20,city_West_Cary
21,category_gluten_free
22,category_pubs
23,category_southern
24,category_greek
25,category_buffets
26,category_breakfast_brunch
27,category_bbq
