Component,Words
1,"food, good, servic, great, place, alway, fast, price, realli, fresh"
2,"place, great, good, love, realli, tri, go, favorit, look, new"
3,"order, place, good, chicken, time, food, got, pizza, get, go"
4,"good, realli, pretti, time, nice, review, chicken, first, like, price"
5,"time, ve, first, food, place, everi, visit, tri, go, come"
6,"great, time, servic, good, order, friendli, first, custom, realli, alway"
7,"servic, locat, custom, place, get, park, right, drive, opinion, mine"
8,"one, alway, ve, love, pizza, locat, best, staff, order, friendli"
9,"love, alway, locat, pizza, come, fri, chicken, amaz, fresh, friendli"
10,"like, servic, realli, love, one, chicken, got, fri, get, custom"
11,"alway, go, staff, get, friendli, like, drive, lunch, come, thru"
12,"locat, like, realli, great, food, ve, well, park, place, order"
13,"pizza, ve, locat, go, best, tri, great, year, ever, food"
14,"restaur, like, pizza, realli, servic, go, alway, ve, look, order"
15,"go, get, pizza, locat, one, time, love, realli, wait, went"
16,"pizza, staff, friendli, realli, first, time, food, nice, clean, got"
17,"get, lunch, alway, pizza, restaur, tri, locat, got, special, went"
18,"realli, lunch, ve, came, staff, nice, love, friendli, go, went"
19,"tri, alway, realli, first, night, want, decid, experi, new, give"
20,"chicken, tri, locat, got, lunch, go, staff, friendli, best, nice"
21,"get, realli, chicken, best, star, first, staff, fri, restaur, friendli"
22,"tri, get, like, staff, friendli, love, ve, would, menu, decid"
23,"first, visit, went, got, like, staff, get, review, last, ve"
24,"got, wait, drive, came, night, thru, went, ve, minut, love"
25,"star, give, would, review, lunch, could, chicken, locat, staff, drive"
26,"nice, ve, star, clean, well, fresh, spot, delici, time, menu"
27,"best, nice, wait, first, would, drive, went, lunch, area, ever"
28,"came, fri, chicken, nice, wait, first, burger, come, dinner, pizza"
29,"best, came, burger, fri, dinner, fresh, time, night, ever, alway"
30,"nice, star, best, came, got, give, area, would, come, review"
31,"come, burger, fri, got, first, eat, would, nice, back, stop"
32,"went, would, night, chicken, park, dinner, come, lot, back, ve"
33,"first, sandwich, came, new, menu, star, wait, give, price, would"
34,"area, visit, new, would, raleigh, fri, burger, stop, spot, servic"
35,"well, new, went, got, wait, custom, park, review, right, staff"
36,"park, stop, well, lot, friendli, chicken, area, right, drive, beer"
37,"visit, wait, night, custom, sandwich, delici, would, staff, fresh, made"
38,"eat, new, staff, area, custom, came, year, raleigh, wait, spot"
39,"work, day, came, would, raleigh, peopl, visit, drive, sandwich, back"
40,"drive, want, visit, menu, thru, well, review, went, raleigh, nice"
41,"want, peopl, work, make, stop, know, wait, subway, chicken, fri"
42,"delici, year, review, night, eat, price, say, fast, fresh, best"
43,"new, delici, experi, night, even, dinner, stop, look, best, star"
44,"area, drive, staff, night, sandwich, delici, stop, thru, busi, star"
45,"wing, never, year, raleigh, staff, beer, drive, delici, littl, want"
46,"menu, experi, area, year, fresh, would, clean, subway, say, hot"
47,"stop, never, look, hot, went, star, fresh, friendli, clean, raleigh"
48,"delici, menu, work, peopl, wing, hot, star, lot, even, eat"
49,"sandwich, year, even, stop, menu, hot, nice, new, thing, dinner"
50,"look, day, two, say, staff, wing, open, breakfast, re, best"
51,"stop, would, review, amaz, even, area, want, menu, back, delici"
52,"day, want, busi, park, pretti, experi, lot, delici, spot, littl"
53,"night, wing, day, amaz, eat, experi, menu, fri, beer, everi"
54,"night, menu, never, littl, price, work, review, staff, look, fri"
55,"sandwich, experi, say, raleigh, look, friendli, delici, would, peopl, back"
56,"price, new, sub, ever, never, chees, littl, want, park, reason"
57,"pretti, spot, would, beer, hot, fast, coffe, say, look, never"
58,"pretti, price, fri, sub, friend, stop, wing, raleigh, back, chines"
59,"hot, busi, well, new, raleigh, wing, clean, store, work, pretti"
60,"even, hot, dinner, spot, super, favorit, sandwich, wing, amaz, lot"
61,"coffe, experi, clean, shop, dinner, hot, say, eat, right, littl"
62,"price, enjoy, amaz, beer, work, friend, burger, reason, well, even"
63,"custom, year, shop, beer, littl, busi, want, fresh, look, could"
64,"beer, raleigh, littl, burger, day, review, ever, fast, chees, spot"
65,"clean, back, beer, work, busi, enjoy, amaz, subway, lot, friend"
66,"littl, chees, dinner, salad, fri, work, year, everi, would, tast"
67,"seat, burger, walk, hot, us, delici, favorit, give, spot, price"
68,"say, littl, hot, bar, seat, amaz, fast, star, know, come"
69,"make, busi, beer, quick, everi, lot, hot, recommend, staff, park"
70,"never, lot, enjoy, say, shop, custom, salad, walk, dinner, know"
71,"back, walk, bar, well, mani, enjoy, coffe, fresh, peopl, sub"
72,"back, store, busi, thing, fri, everi, take, salad, night, beer"
73,"hot, sub, amaz, make, peopl, thing, custom, enjoy, dog, chees"
74,"friend, ever, coffe, say, even, night, friendli, drink, salad, clean"
75,"fast, coffe, lot, drink, bar, amaz, sub, park, clean, seat"
76,"clean, make, custom, littl, dinner, two, price, us, fri, enjoy"
77,"open, dinner, subway, made, peopl, say, super, well, raleigh, us"
78,"friend, wing, dinner, fast, shop, seat, burger, store, everi, hot"
79,"walk, close, pretti, 10, last, minut, friend, two, amaz, salad"
80,"decid, give, bar, store, open, fast, awesom, fri, enjoy, delici"
81,"friend, two, peopl, even, way, shop, sushi, right, option, expect"
82,"enjoy, ever, fast, worst, busi, open, call, area, well, could"
83,"sub, fast, tabl, us, beer, well, delici, subway, work, shop"
84,"give, today, salad, decid, know, two, manag, made, look, back"
85,"chees, breakfast, spot, everi, us, peopl, say, amaz, beer, need"
86,"two, salad, meal, right, favorit, work, employe, super, fast, famili"
87,"favorit, friend, know, super, drink, famili, close, littl, use, chees"
88,"us, peopl, chees, two, make, store, spot, seat, today, tabl"
89,"could, spot, make, made, last, well, hous, busi, salad, enjoy"
90,"favorit, today, tast, right, subway, chines, bad, everi, busi, way"
91,"sinc, dinner, today, use, husband, fast, busi, tast, employe, week"
92,"right, spot, salad, know, drink, could, decid, store, thing, chees"
93,"everi, shop, back, ever, tabl, use, decid, sinc, know, definit"
94,"famili, made, today, breakfast, friend, excel, much, ask, sub, fast"
95,"around, super, today, manag, spot, week, seat, chines, chees, excel"
96,"two, could, subway, everi, quick, bar, meal, super, bad, around"
97,"decid, around, mexican, walk, hous, sinc, made, favorit, everi, long"
98,"drink, hotel, close, around, sauc, give, week, everi, howev, husband"
99,"way, drink, shop, sub, take, peopl, us, hotel, taco, today"
100,"super, right, thing, take, littl, last, manag, breakfast, bad, friend"
